Agg_ASST,simp_ASS,LARC,AUTO,DATE,O3,PM25,PRCP,TMAX,UV,holi,fri,sat,sun,Chicago,NY,LA,Phil,Phoen,Atl,SanFran,Houston,Boston,Indianapolis?
5,28,94,27,2003-07-03,0.024,,0,67,9.03,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,39,61,24,2003-07-04,0.028,,0,74,9.48,1,1,0,0,0,0,0,0,0,0,1,0,0,0
8,22,72,18,2003-07-05,0.024,,0,64,8.99,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4,26,68,16,2003-07-06,0.024,,0,60,9.12,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9,28,61,29,2003-07-07,0.022,,0,65,9.77,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,30,65,26,2003-07-08,0.021,7.3,0,70,9.92,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,36,66,24,2003-07-09,0.02,,0,75,9.64,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,23,65,16,2003-07-10,0.017,,0,69,8.95,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,27,76,27,2003-07-11,0.016,,0,68,8.73,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11,26,61,20,2003-07-12,0.014,,0,74,8.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,34,67,21,2003-07-13,0.018,,0,72,9.1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10,27,64,21,2003-07-14,0.015,10.3,0,83,8.81,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,38,85,24,2003-07-15,0.018,,0,70,8.65,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,37,74,29,2003-07-16,0.023,,0,72,8.87,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,28,98,17,2003-07-17,0.02,,0,84,8.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,27,96,20,2003-07-18,0.021,12.1,0,74,7.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0
10,35,95,25,2003-07-19,0.027,,0,70,7.1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,40,85,18,2003-07-20,0.022,10.6,0,84,8.09,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,32,83,30,2003-07-21,0.018,,0,72,7.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,17,76,22,2003-07-22,0.018,,0,73,7.89,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,26,73,39,2003-07-23,0.022,,0,71,7.79,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,28,76,26,2003-07-24,0.024,,0,73,8.13,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,23,80,27,2003-07-25,0.022,,0,71,7.66,0,1,0,0,0,0,0,0,0,0,1,0,0,0
10,31,82,26,2003-07-26,0.025,8.5,0,71,7.87,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,30,57,19,2003-07-27,0.023,,0,70,7.49,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4,37,56,18,2003-07-28,0.02,,0,67,6.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,32,57,30,2003-07-29,0.022,,0,66,6.64,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,21,59,23,2003-07-30,0.02,,0,75,7.18,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,20,65,17,2003-07-31,0.018,,0,72,7.92,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,34,64,25,2003-08-01,0.017,,0,73,7.42,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9,33,59,20,2003-08-02,0.019,,0,76,7.89,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,22,57,29,2003-08-03,0.021,,0,73,8.24,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,29,57,21,2003-08-04,0.02,,0,74,8.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,20,77,17,2003-08-05,0.021,,0,77,8.09,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,23,81,27,2003-08-06,0.028,,0,72,7.82,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,25,71,23,2003-08-07,0.029,6.9,0,73,7.83,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,22,76,22,2003-08-08,0.02,,0,73,,0,1,0,0,0,0,0,0,0,0,1,0,0,0
10,24,91,20,2003-08-09,0.029,,0,73,,0,0,1,0,0,0,0,0,0,0,1,0,0,0
15,32,77,18,2003-08-10,0.024,4.9,0,74,8.97,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,31,70,31,2003-08-11,0.021,,0,73,9.03,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,39,79,22,2003-08-12,0.026,,0,72,8.12,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,28,80,29,2003-08-13,0.028,7.5,0,73,8.07,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,32,80,26,2003-08-14,0.03,,0,72,7.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,47,92,21,2003-08-15,0.027,,0,72,6.27,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11,33,89,27,2003-08-16,0.027,,0,78,7.08,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7,30,64,28,2003-08-17,0.021,,0,76,7.57,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,17,67,39,2003-08-18,0.023,,0,71,7.34,0,0,0,0,0,0,0,0,0,0,1,0,0,0
